rank,school,conf,astcoach,schoolpay,totalpay,maxbonus,stafftotal,buyout,category,complete,proportion
1017,Navy,AAC,Danny O'Rourke,,,,,nan,Others,yes,
1018,Navy,AAC,Dale Pehrson,,,,,nan,Others,yes,
1019,Navy,AAC,Napoleon Sykes,,,,,nan,Others,yes,
1020,Navy,AAC,Mick Yokitis,,,,,nan,Others,yes,
1021,Navy,AAC,Shaun Nua,,,,,nan,Others,yes,
1022,Navy,AAC,Dan O'Brien,,,,,nan,Others,yes,
1023,Navy,AAC,Robert Green,,,,,nan,Others,yes,
1024,Navy,AAC,Bryce McDonald,,,,,nan,Others,yes,
1025,Syracuse,ACC,Justin Lustig,,,,,nan,Power Five,yes,
1026,Syracuse,ACC,Kim McCloud,,,,,nan,Power Five,yes,
1027,Syracuse,ACC,Steve Stanard,,,,,nan,Power Five,yes,
1028,Syracuse,ACC,Nick Monroe,,,,,nan,Power Five,yes,
1029,Syracuse,ACC,Vinson Reynolds,,,,,nan,Power Five,yes,
1030,Pittsburgh,ACC,Josh Conklin,,,,,nan,Power Five,yes,
1031,Pittsburgh,ACC,Renaldo Hill,,,,,nan,Power Five,yes,
1032,Pittsburgh,ACC,Rob Harley,,,,,nan,Power Five,yes,
1033,Temple,AAC,Ed Foley,,,,,nan,Others,yes,
1034,Baylor,Big 12,Glenn Thomas,,,,,nan,Power Five,no,
1035,Baylor,Big 12,Bob Bicknell,,,,,nan,Power Five,no,
1036,Baylor,Big 12,Joey McGuire,,,,,nan,Power Five,no,
1037,Baylor,Big 12,Jeff Nixon,,,,,nan,Power Five,no,
1038,Duke,ACC,Jim Bridge,,,,,nan,Power Five,yes,
1039,Duke,ACC,Derek Jones,,,,,nan,Power Five,yes,
1040,Duke,ACC,Zac Roper,,,,,nan,Power Five,yes,
1041,Air Force,Mt. West,Ben Miller,,,,,nan,Others,yes,
1042,Air Force,Mt. West,Steve Russ,,,,,nan,Others,yes,
1043,Air Force,Mt. West,Mike Thiessen,,,,,nan,Others,yes,
1044,Air Force,Mt. West,Ron Vanderlinden,,,,,nan,Others,yes,
1045,Notre Dame,Ind.,DelVaughn Alexander,,,,,nan,Others,yes,
1046,Vanderbilt,SEC,Cortez Hankton,,,,,nan,Power Five,yes,
1047,Vanderbilt,SEC,Marc Mattioli,,,,,nan,Power Five,yes,
1048,Vanderbilt,SEC,C.J. Ah You,,,,,nan,Power Five,yes,
1049,Vanderbilt,SEC,Chris Marve,,,,,nan,Power Five,yes,
1050,Tulsa,AAC,Jermial Ashley,,,,,nan,Others,no,
1051,Tulsa,AAC,Aaron Fletcher,,,,,nan,Others,no,
1052,Tulsa,AAC,Joseph Gillespie,,,,,nan,Others,no,
1053,Tulsa,AAC,Justin Hill,,,,,nan,Others,no,
1054,Tulsa,AAC,Calvin Lowry,,,,,nan,Others,no,
1055,Tulsa,AAC,Mike Bloesch,,,,,nan,Others,no,
1056,Tulsa,AAC,Beau Trahan,,,,,nan,Others,no,
1057,Navy,AAC,Justin Davis,,,,,nan,Others,yes,
1058,Stanford,Pac-12,Tavita Pritchard,,,,,nan,Power Five,yes,
1059,Stanford,Pac-12,Morgan Turner,,,,,nan,Power Five,yes,
1060,Stanford,Pac-12,Peter Hansen,,,,,nan,Power Five,yes,
1061,Stanford,Pac-12,Diron Reynolds,,,,,nan,Power Five,yes,
1062,Tulane,AAC,Alex Atkins,,,,,nan,Others,yes,
1063,Tulane,AAC,Michael Mutz,,,,,nan,Others,yes,
1064,Tulane,AAC,Chris Hampton,,,,,nan,Others,yes,
1065,Tulane,AAC,Slade Nagle,,,,,nan,Others,yes,
1066,Tulane,AAC,Jamaal Fobbs,,,,,nan,Others,yes,
1067,Southern Methodist,AAC,Buddy Wyatt,,,,,nan,Others,yes,
1068,Southern Methodist,AAC,Jess Loepp,,,,,nan,Others,yes,
1069,Southern Methodist,AAC,Archie McDaniel,,,,,nan,Others,yes,
1070,Southern Methodist,AAC,Justin Stepp,,,,,nan,Others,yes,
1071,Southern Methodist,AAC,Joe Craddock,,,,,nan,Others,yes,
1072,Southern Methodist,AAC,Dustin Fry,,,,,nan,Others,yes,
1073,Southern Methodist,AAC,Keith Gunn,,,,,nan,Others,yes,
1074,Southern Methodist,AAC,Jeff Traylor,,,,,nan,Others,yes,
1075,Texas Christian,Big 12,Chad Glasgow,,,,,nan,Power Five,yes,
1076,Texas Christian,Big 12,Curtis Luper,,,,,nan,Power Five,yes,
1077,Texas Christian,Big 12,Dan Sharp,,,,,nan,Power Five,yes,
1078,Texas Christian,Big 12,Sonny Cumbie,,,,,nan,Power Five,yes,
1079,Texas Christian,Big 12,Chris Thomsen,,,,,nan,Power Five,yes,
1080,Texas Christian,Big 12,Zarnell Fitch,,,,,nan,Power Five,yes,
1081,Texas Christian,Big 12,Paul Gonzales,,,,,nan,Power Five,yes,
1082,Brigham Young,Ind.,Steve Kaufusi,,,,,nan,Others,yes,
1083,Brigham Young,Ind.,Ilaisa Tuiaki,,,,,nan,Others,yes,
1084,Southern Methodist,AAC,Van Malone,,,,,nan,Others,yes,
1085,Tulane,AAC,Jack Curtis,,,,,nan,Others,yes,
1086,Hawaii,Mt. West,Brian Smith,,,,,nan,Others,yes,
1087,Army,Ind.,David Corley,,,,,nan,Others,yes,
1088,Army,Ind.,Mike Viti,,,,,nan,Others,yes,
1089,Army,Ind.,Josh Christian-Young,,,,,nan,Others,yes,
1090,Army,Ind.,Todd Spencer,,,,,nan,Others,yes,
1091,Vanderbilt,SEC,Jeff Genyk,,,,,nan,Power Five,yes,
1092,Vanderbilt,SEC,Gerry Gdowski,,,,,nan,Power Five,yes,
1093,Tulane,AAC,Kevin Peoples,,,,,nan,Others,yes,
1094,Tulane,AAC,Doug Ruse,,,,,nan,Others,yes,
1095,Tulane,AAC,Jeff Conway,,,,,nan,Others,yes,
1096,Navy,AAC,Ashley Ingram,,,,,nan,Others,yes,
1097,Navy,AAC,Ivin Jasper,,,,,nan,Others,yes,
1098,Navy,AAC,Steve Johns,,,,,nan,Others,yes,
1099,Navy,AAC,Mike Judge,,,,,nan,Others,yes,
1100,Notre Dame,Ind.,Mike Elko,,,,,nan,Others,yes,
