rank,school,conf,asscoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category
932,Appalachian State,Sun Belt,Bryan Brown,60000.0,,60000.0,17000.0,936500.0,Others
933,Louisiana-Monroe,Sun Belt,Matt Clark,60000.0,,60000.0,3500.0,683050.0,Others
934,New Mexico State,Sun Belt,Cory Martin,60000.0,,60000.0,0.0,646883.0,Others
935,South Carolina,SEC,Travelle Wharton,60000.0,,60000.0,0.0,3995600.0,Power Five
936,Massachusetts,MAC,Darrius Smith,59500.0,,59500.0,11458.0,832930.0,Others
937,Kent State,MAC,Jeff Burrow,59282.0,0.0,59282.0,0.0,718436.0,Others
938,Kent State,MAC,Doc Gamble,58346.0,0.0,58346.0,0.0,718436.0,Others
939,Kent State,MAC,Mark Spencer,58000.0,0.0,58000.0,0.0,718436.0,Others
940,Western Kentucky,C-USA,Ricky Brumfield,55008.0,2000.0,57008.0,50000.0,1054792.0,Others
941,Georgia State,Sun Belt,Larry Knight,54800.0,1000.0,55800.0,0.0,950700.0,Others
942,Charlotte,C-USA,James Adams,55600.0,,55600.0,0.0,647025.0,Others
943,Charlotte,C-USA,Napoleon Sykes,55600.0,,55600.0,0.0,647025.0,Others
944,Western Kentucky,C-USA,Bryan Ellis,55000.0,500.0,55500.0,50000.0,1054792.0,Others
945,Idaho,Sun Belt,Eric Brown,54101.0,,54101.0,0.0,747637.0,Others
946,Old Dominion,C-USA,Sam Perryman,50000.0,3000.0,53000.0,0.0,1062738.0,Others
947,Old Dominion,C-USA,Arick Forest,50000.0,1000.0,51000.0,0.0,1062738.0,Others
948,Georgia State,Sun Belt,Tony Samuel,50000.0,1000.0,51000.0,0.0,950700.0,Others
949,Charlotte,C-USA,Aaron Curry,50000.0,,50000.0,0.0,647025.0,Others
950,Louisiana-Monroe,Sun Belt,Nate Brown,50000.0,,50000.0,3500.0,683050.0,Others
951,Buffalo,MAC,Alan Hensell,50000.0,,50000.0,0.0,928540.0,Others
952,Texas State,Sun Belt,Kyle Tatum,47000.0,3000.0,50000.0,0.0,832300.0,Others
953,Massachusetts,MAC,Steve Costello,47500.0,,47500.0,10458.0,832930.0,Others
954,Bowling Green,MAC,Andrew Sowder,46512.0,0.0,46512.0,7000.0,807112.0,Others
955,Army,Ind.,Danny Verpaele,45000.0,,45000.0,0.0,2220450.0,Others
956,Louisiana-Monroe,Sun Belt,Cody Wells,40000.0,,40000.0,3500.0,683050.0,Others
957,Charlotte,C-USA,Joe Tereshinski,39725.0,,39725.0,0.0,647025.0,Others
958,Charlotte,C-USA,Damien Gary,35725.0,,35725.0,0.0,647025.0,Others
959,Charlotte,C-USA,Johnson Richardson,35725.0,,35725.0,0.0,647025.0,Others
960,Miami (Fla.),ACC,Tim Harris,,,,,,Power Five
961,Duke,ACC,Mike Guerrieri,,,,,,Power Five
962,Hawaii,Mt. West,Don Bailey,,,,,,Others
963,Hawaii,Mt. West,Jake Cookus,,,,,,Others
964,Hawaii,Mt. West,Abe Elimimian,,,,,,Others
965,Hawaii,Mt. West,Lance Samuseva,,,,,,Others
966,Miami (Fla.),ACC,Kevin Beard,,,,,,Power Five
967,Notre Dame,Ind.,Todd Lyght,,,,,,Others
968,Southern Methodist,AAC,Joe Craddock,,,,,,Others
969,Southern Methodist,AAC,Dustin Fry,,,,,,Others
970,Southern Methodist,AAC,Keith Gunn,,,,,,Others
971,Southern Methodist,AAC,Claude Mathis,,,,,,Others
972,Air Force,Mt. West,Capt. Ross Weaver,,,,,1518000.0,Others
973,Baylor,Big 12,Cris Dishman,,,,,,Power Five
974,Baylor,Big 12,Tate Wallis,,,,,,Power Five
975,Vanderbilt,SEC,Brett Maxie,,,,,,Power Five
976,Wake Forest,ACC,Kevin Higgins,,,,,,Power Five
977,Tulane,AAC,Kwahn Drake,,,,,,Others
978,Stanford,Pac-12,Lance Taylor,,,,,,Power Five
979,Hawaii,Mt. West,Kurt Gouveia,,,,,,Others
980,Hawaii,Mt. West,Luke Matthews,,,,,,Others
981,Notre Dame,Ind.,Autry Denson,,,,,,Others
982,Navy,AAC,Dan O'Brien,,,,,,Others
983,Rice,C-USA,Anthony Steward,,,,,,Others
984,Stanford,Pac-12,Peter Hansen,,,,,,Power Five
985,Syracuse,ACC,Joe Adam,,,,,,Power Five
986,Syracuse,ACC,Bobby Acosta,,,,,,Power Five
987,Temple,AAC,Elijah Robinson,,,,,,Others
988,Penn State,Big Ten,Terry Smith,,,,,,Power Five
989,Stanford,Pac-12,Tavita Pritchard,,,,,,Power Five
990,Hawaii,Mt. West,Chris Naeole,,,,,,Others
991,Temple,AAC,Marcus Satterfield,,,,,,Others
992,Duke,ACC,Re'quan Boyette,,,,,,Power Five
993,Pittsburgh,ACC,Renaldo Hill,,,,,,Power Five
994,Syracuse,ACC,Tim Lester,,,,,,Power Five
995,Southern Methodist,AAC,Justin Stepp,,,,,,Others
996,Brigham Young,Ind.,Garett Tujague,,,,,,Others
997,Stanford,Pac-12,Morgan Turner,,,,,,Power Five
998,Air Force,Mt. West,Maj. Mike Walker,,,,,1518000.0,Others
999,Pittsburgh,ACC,Rob Harley,,,,,,Power Five
1000,Tulsa,AAC,Sterlin Gilbert,,,,,,Others
1001,Tulsa,AAC,Matt Mattox,,,,,,Others
1002,Duke,ACC,Jeffrey Faris,,,,,,Power Five
1003,Temple,AAC,Francis Brown,,,,,,Others
1004,Brigham Young,Ind.,Jason Beck,,,,,,Others
1005,Brigham Young,Ind.,Mark Atuaia,,,,,,Others
1006,Southern California,Pac-12,Marques Tuiasosopo,,,,,,Power Five
1007,Boston College,ACC,Al Washington,,,,,,Power Five
1008,Tulane,AAC,Lionel Washington,,,,,,Others
1009,Tulane,AAC,David Johnson,,,,,,Others
1010,Navy,AAC,Shaun Nua,,,,,,Others
1011,Wake Forest,ACC,Nicholas Tabacca,,,,,,Power Five
1012,Rice,C-USA,Michael Slater,,,,,,Others
1013,Rice,C-USA,David Sloan,,,,,,Others
1014,Temple,AAC,Chris Wiesehan,,,,,,Others
1015,Notre Dame,Ind.,Brian VanGorder,,,,,,Others
1016,Texas Christian,Big 12,DeMontie Cross,,,,,,Power Five
1017,Miami (Fla.),ACC,Art Kehoe,,,,,,Power Five
1018,Navy,AAC,Mick Yokitis,,,,,,Others
1019,Penn State,Big Ten,Charles Huff,,,,,,Power Five
1020,Penn State,Big Ten,Bob Shoop,,,,,,Power Five
1021,Pittsburgh,ACC,Josh Conklin,,,,,,Power Five
1022,Baylor,Big 12,Jeff Lebby,,,,,,Power Five
1023,Boston College,ACC,Frank Leonard,,,,,,Power Five
1024,Boston College,ACC,Coleman Hutzler,,,,,,Power Five
1025,Notre Dame,Ind.,Mike Denbrock,,,,,,Others
1026,Notre Dame,Ind.,Harry Hiestand,,,,,,Others
1027,Southern Methodist,AAC,Jess Loepp,,,,,,Others
1028,Syracuse,ACC,Clark Lea,,,,,,Power Five
1029,Texas Christian,Big 12,Sonny Cumbie,,,,,,Power Five
1030,Duke,ACC,Jim Knowles,,,,,,Power Five
1031,Duke,ACC,Jim Colllins,,,,,,Power Five
1032,Temple,AAC,Phil Snow,,,,,,Others
1033,Miami (Fla.),ACC,Paul Williams,,,,,,Power Five
1034,Southern California,Pac-12,Chris Wilson,,,,,,Power Five
1035,Southern California,Pac-12,Justin Wilcox,,,,,,Power Five
1036,Boston College,ACC,Brian White,,,,,,Power Five
1037,Brigham Young,Ind.,Nick Howell,,,,,,Others
